state,is_state,name,date,label,count
AK,TRUE,Alaska,2017-01-01,Number of Drug Overdose Deaths,126
AK,TRUE,Alaska,2017-02-01,Number of Drug Overdose Deaths,124
AK,TRUE,Alaska,2017-03-01,Number of Drug Overdose Deaths,126
AK,TRUE,Alaska,2017-04-01,Number of Drug Overdose Deaths,117
AK,TRUE,Alaska,2017-05-01,Number of Drug Overdose Deaths,120
AK,TRUE,Alaska,2017-06-01,Number of Drug Overdose Deaths,122
AK,TRUE,Alaska,2017-07-01,Number of Drug Overdose Deaths,128
AK,TRUE,Alaska,2017-08-01,Number of Drug Overdose Deaths,137
AK,TRUE,Alaska,2017-09-01,Number of Drug Overdose Deaths,148
AK,TRUE,Alaska,2017-10-01,Number of Drug Overdose Deaths,144
AZ,TRUE,Arizona,2015-01-01,Number of Deaths,52342
AZ,TRUE,Arizona,2015-02-01,Number of Deaths,52371
AZ,TRUE,Arizona,2015-03-01,Number of Deaths,52826
AZ,TRUE,Arizona,2015-04-01,Number of Deaths,53025
AZ,TRUE,Arizona,2015-05-01,Number of Deaths,53225
AZ,TRUE,Arizona,2015-06-01,Number of Deaths,53462
AZ,TRUE,Arizona,2015-07-01,Number of Deaths,53685
AZ,TRUE,Arizona,2015-08-01,Number of Deaths,53907
AZ,TRUE,Arizona,2015-09-01,Number of Deaths,54058
AZ,TRUE,Arizona,2015-10-01,Number of Deaths,54122
AZ,TRUE,Arizona,2015-11-01,Number of Deaths,54421
AZ,TRUE,Arizona,2015-12-01,Number of Deaths,54853
AZ,TRUE,Arizona,2016-01-01,Number of Deaths,54917
AZ,TRUE,Arizona,2016-02-01,Number of Deaths,55755
AZ,TRUE,Arizona,2016-03-01,Number of Deaths,56319
AZ,TRUE,Arizona,2016-04-01,Number of Deaths,56436
AZ,TRUE,Arizona,2016-05-01,Number of Deaths,56522
AZ,TRUE,Arizona,2016-06-01,Number of Deaths,56648
AZ,TRUE,Arizona,2016-07-01,Number of Deaths,56865
AZ,TRUE,Arizona,2016-08-01,Number of Deaths,56960
AZ,TRUE,Arizona,2016-09-01,Number of Deaths,57051
AZ,TRUE,Arizona,2016-10-01,Number of Deaths,57277
AZ,TRUE,Arizona,2016-11-01,Number of Deaths,57252
AZ,TRUE,Arizona,2016-12-01,Number of Deaths,57215
AZ,TRUE,Arizona,2017-01-01,Number of Deaths,57224
AZ,TRUE,Arizona,2017-02-01,Number of Deaths,56612
AZ,TRUE,Arizona,2017-03-01,Number of Deaths,56273
AZ,TRUE,Arizona,2017-04-01,Number of Deaths,56458
AZ,TRUE,Arizona,2017-05-01,Number of Deaths,56725
AZ,TRUE,Arizona,2017-06-01,Number of Deaths,57017
AZ,TRUE,Arizona,2017-07-01,Number of Deaths,57219
AZ,TRUE,Arizona,2017-08-01,Number of Deaths,57315
AZ,TRUE,Arizona,2017-09-01,Number of Deaths,57538
AZ,TRUE,Arizona,2017-10-01,Number of Deaths,57704
AZ,TRUE,Arizona,2015-01-01,Number of Drug Overdose Deaths,1193
AZ,TRUE,Arizona,2015-02-01,Number of Drug Overdose Deaths,1175
AZ,TRUE,Arizona,2015-03-01,Number of Drug Overdose Deaths,1174
AZ,TRUE,Arizona,2015-04-01,Number of Drug Overdose Deaths,1173
AZ,TRUE,Arizona,2015-05-01,Number of Drug Overdose Deaths,1184
AZ,TRUE,Arizona,2015-06-01,Number of Drug Overdose Deaths,1209
AZ,TRUE,Arizona,2015-07-01,Number of Drug Overdose Deaths,1201
AZ,TRUE,Arizona,2015-08-01,Number of Drug Overdose Deaths,1240
AZ,TRUE,Arizona,2015-09-01,Number of Drug Overdose Deaths,1241
AZ,TRUE,Arizona,2015-10-01,Number of Drug Overdose Deaths,1264
AZ,TRUE,Arizona,2015-11-01,Number of Drug Overdose Deaths,1269
AZ,TRUE,Arizona,2015-12-01,Number of Drug Overdose Deaths,1267
AZ,TRUE,Arizona,2016-01-01,Number of Drug Overdose Deaths,1298
AZ,TRUE,Arizona,2016-02-01,Number of Drug Overdose Deaths,1307
AZ,TRUE,Arizona,2016-03-01,Number of Drug Overdose Deaths,1313
AZ,TRUE,Arizona,2016-04-01,Number of Drug Overdose Deaths,1335
AZ,TRUE,Arizona,2016-05-01,Number of Drug Overdose Deaths,1350
AZ,TRUE,Arizona,2016-06-01,Number of Drug Overdose Deaths,1370
AZ,TRUE,Arizona,2016-07-01,Number of Drug Overdose Deaths,1421
AZ,TRUE,Arizona,2016-08-01,Number of Drug Overdose Deaths,1410
AZ,TRUE,Arizona,2016-09-01,Number of Drug Overdose Deaths,1404
AZ,TRUE,Arizona,2016-10-01,Number of Drug Overdose Deaths,1405
AZ,TRUE,Arizona,2016-11-01,Number of Drug Overdose Deaths,1397
AZ,TRUE,Arizona,2016-12-01,Number of Drug Overdose Deaths,1393
AZ,TRUE,Arizona,2017-01-01,Number of Drug Overdose Deaths,1417
AZ,TRUE,Arizona,2017-02-01,Number of Drug Overdose Deaths,1411
AZ,TRUE,Arizona,2017-03-01,Number of Drug Overdose Deaths,1429
AZ,TRUE,Arizona,2017-04-01,Number of Drug Overdose Deaths,1416
AZ,TRUE,Arizona,2017-05-01,Number of Drug Overdose Deaths,1432
AZ,TRUE,Arizona,2017-06-01,Number of Drug Overdose Deaths,1450
AZ,TRUE,Arizona,2017-07-01,Number of Drug Overdose Deaths,1441
AZ,TRUE,Arizona,2017-08-01,Number of Drug Overdose Deaths,1457
AZ,TRUE,Arizona,2017-09-01,Number of Drug Overdose Deaths,1477
AZ,TRUE,Arizona,2017-10-01,Number of Drug Overdose Deaths,1487
AR,TRUE,Arkansas,2015-01-01,Number of Deaths,30122
AR,TRUE,Arkansas,2015-02-01,Number of Deaths,30332
AR,TRUE,Arkansas,2015-03-01,Number of Deaths,30387
AR,TRUE,Arkansas,2015-04-01,Number of Deaths,30444
AR,TRUE,Arkansas,2015-05-01,Number of Deaths,30602
AR,TRUE,Arkansas,2015-06-01,Number of Deaths,30722
AR,TRUE,Arkansas,2015-07-01,Number of Deaths,30685
AR,TRUE,Arkansas,2015-08-01,Number of Deaths,30884
AR,TRUE,Arkansas,2015-09-01,Number of Deaths,30931
AR,TRUE,Arkansas,2015-10-01,Number of Deaths,31015
AR,TRUE,Arkansas,2015-11-01,Number of Deaths,31007
AR,TRUE,Arkansas,2015-12-01,Number of Deaths,30986
AR,TRUE,Arkansas,2016-01-01,Number of Deaths,30624
AR,TRUE,Arkansas,2016-02-01,Number of Deaths,30413
AR,TRUE,Arkansas,2016-03-01,Number of Deaths,30421
AR,TRUE,Arkansas,2016-04-01,Number of Deaths,30489
AR,TRUE,Arkansas,2016-05-01,Number of Deaths,30361
AR,TRUE,Arkansas,2016-06-01,Number of Deaths,30434
AR,TRUE,Arkansas,2016-07-01,Number of Deaths,30590
AR,TRUE,Arkansas,2016-08-01,Number of Deaths,30488
AR,TRUE,Arkansas,2016-09-01,Number of Deaths,30540
AR,TRUE,Arkansas,2016-10-01,Number of Deaths,30489
AR,TRUE,Arkansas,2016-11-01,Number of Deaths,30697
AR,TRUE,Arkansas,2016-12-01,Number of Deaths,31028
AR,TRUE,Arkansas,2017-01-01,Number of Deaths,31116
AR,TRUE,Arkansas,2017-02-01,Number of Deaths,31159
AR,TRUE,Arkansas,2017-03-01,Number of Deaths,31312
AR,TRUE,Arkansas,2017-04-01,Number of Deaths,31386
AR,TRUE,Arkansas,2017-05-01,Number of Deaths,31500
AR,TRUE,Arkansas,2017-06-01,Number of Deaths,31557
AR,TRUE,Arkansas,2017-07-01,Number of Deaths,31551
AR,TRUE,Arkansas,2017-08-01,Number of Deaths,31598
AR,TRUE,Arkansas,2017-09-01,Number of Deaths,31720
AR,TRUE,Arkansas,2017-10-01,Number of Deaths,31725
AR,TRUE,Arkansas,2015-01-01,Number of Drug Overdose Deaths,366
AR,TRUE,Arkansas,2015-02-01,Number of Drug Overdose Deaths,366
AR,TRUE,Arkansas,2015-03-01,Number of Drug Overdose Deaths,385
AR,TRUE,Arkansas,2015-04-01,Number of Drug Overdose Deaths,373
AR,TRUE,Arkansas,2015-05-01,Number of Drug Overdose Deaths,383
AR,TRUE,Arkansas,2015-06-01,Number of Drug Overdose Deaths,391
AR,TRUE,Arkansas,2015-07-01,Number of Drug Overdose Deaths,395
AR,TRUE,Arkansas,2015-08-01,Number of Drug Overdose Deaths,398
AR,TRUE,Arkansas,2015-09-01,Number of Drug Overdose Deaths,392
AR,TRUE,Arkansas,2015-10-01,Number of Drug Overdose Deaths,397
AR,TRUE,Arkansas,2015-11-01,Number of Drug Overdose Deaths,389
AR,TRUE,Arkansas,2015-12-01,Number of Drug Overdose Deaths,381
AR,TRUE,Arkansas,2016-01-01,Number of Drug Overdose Deaths,378
AR,TRUE,Arkansas,2016-02-01,Number of Drug Overdose Deaths,379
AR,TRUE,Arkansas,2016-03-01,Number of Drug Overdose Deaths,363
AR,TRUE,Arkansas,2016-04-01,Number of Drug Overdose Deaths,372
AR,TRUE,Arkansas,2016-05-01,Number of Drug Overdose Deaths,376
AR,TRUE,Arkansas,2016-06-01,Number of Drug Overdose Deaths,369
AR,TRUE,Arkansas,2016-07-01,Number of Drug Overdose Deaths,378
AR,TRUE,Arkansas,2016-08-01,Number of Drug Overdose Deaths,383
AR,TRUE,Arkansas,2016-09-01,Number of Drug Overdose Deaths,379
AR,TRUE,Arkansas,2016-10-01,Number of Drug Overdose Deaths,372
AR,TRUE,Arkansas,2016-11-01,Number of Drug Overdose Deaths,378
AR,TRUE,Arkansas,2016-12-01,Number of Drug Overdose Deaths,386
AR,TRUE,Arkansas,2017-01-01,Number of Drug Overdose Deaths,384
AR,TRUE,Arkansas,2017-02-01,Number of Drug Overdose Deaths,380
AR,TRUE,Arkansas,2017-03-01,Number of Drug Overdose Deaths,384
AR,TRUE,Arkansas,2017-04-01,Number of Drug Overdose Deaths,386
AR,TRUE,Arkansas,2017-05-01,Number of Drug Overdose Deaths,383
AR,TRUE,Arkansas,2017-06-01,Number of Drug Overdose Deaths,398
AR,TRUE,Arkansas,2017-07-01,Number of Drug Overdose Deaths,395
AR,TRUE,Arkansas,2017-08-01,Number of Drug Overdose Deaths,406
AR,TRUE,Arkansas,2017-09-01,Number of Drug Overdose Deaths,413
AR,TRUE,Arkansas,2017-10-01,Number of Drug Overdose Deaths,410
CA,TRUE,California,2015-01-01,Number of Deaths,248191
CA,TRUE,California,2015-02-01,Number of Deaths,249920
CA,TRUE,California,2015-03-01,Number of Deaths,251540
CA,TRUE,California,2015-04-01,Number of Deaths,252831
CA,TRUE,California,2015-05-01,Number of Deaths,253858
CA,TRUE,California,2015-06-01,Number of Deaths,254838
CA,TRUE,California,2015-07-01,Number of Deaths,255417
CA,TRUE,California,2015-08-01,Number of Deaths,256464
CA,TRUE,California,2015-09-01,Number of Deaths,257163
CA,TRUE,California,2015-10-01,Number of Deaths,257750
CA,TRUE,California,2015-11-01,Number of Deaths,258808
CA,TRUE,California,2015-12-01,Number of Deaths,260172
CA,TRUE,California,2016-01-01,Number of Deaths,259303
CA,TRUE,California,2016-02-01,Number of Deaths,260508
CA,TRUE,California,2016-03-01,Number of Deaths,261416
CA,TRUE,California,2016-04-01,Number of Deaths,261595
CA,TRUE,California,2016-05-01,Number of Deaths,261557
CA,TRUE,California,2016-06-01,Number of Deaths,261467
CA,TRUE,California,2016-07-01,Number of Deaths,261603
CA,TRUE,California,2016-08-01,Number of Deaths,261781
CA,TRUE,California,2016-09-01,Number of Deaths,262041
CA,TRUE,California,2016-10-01,Number of Deaths,262751
CA,TRUE,California,2016-11-01,Number of Deaths,262360
CA,TRUE,California,2016-12-01,Number of Deaths,263199
CA,TRUE,California,2017-01-01,Number of Deaths,265344
CA,TRUE,California,2017-02-01,Number of Deaths,264895
CA,TRUE,California,2017-03-01,Number of Deaths,264775
CA,TRUE,California,2017-04-01,Number of Deaths,265300
CA,TRUE,California,2017-05-01,Number of Deaths,265970
CA,TRUE,California,2017-06-01,Number of Deaths,266922
CA,TRUE,California,2017-07-01,Number of Deaths,267395
CA,TRUE,California,2017-08-01,Number of Deaths,267367
CA,TRUE,California,2017-09-01,Number of Deaths,268108
CA,TRUE,California,2017-10-01,Number of Deaths,268385
CA,TRUE,California,2015-01-01,Number of Drug Overdose Deaths,4603
CA,TRUE,California,2015-02-01,Number of Drug Overdose Deaths,4616
CA,TRUE,California,2015-03-01,Number of Drug Overdose Deaths,4608
CA,TRUE,California,2015-04-01,Number of Drug Overdose Deaths,4625
CA,TRUE,California,2015-05-01,Number of Drug Overdose Deaths,4607
CA,TRUE,California,2015-06-01,Number of Drug Overdose Deaths,4604
CA,TRUE,California,2015-07-01,Number of Drug Overdose Deaths,4628
CA,TRUE,California,2015-08-01,Number of Drug Overdose Deaths,4670
CA,TRUE,California,2015-09-01,Number of Drug Overdose Deaths,4747
CA,TRUE,California,2015-10-01,Number of Drug Overdose Deaths,4784
CA,TRUE,California,2015-11-01,Number of Drug Overdose Deaths,4747
CA,TRUE,California,2015-12-01,Number of Drug Overdose Deaths,4762
CA,TRUE,California,2016-01-01,Number of Drug Overdose Deaths,4745
CA,TRUE,California,2016-02-01,Number of Drug Overdose Deaths,4745
CA,TRUE,California,2016-03-01,Number of Drug Overdose Deaths,4768
CA,TRUE,California,2016-04-01,Number of Drug Overdose Deaths,4795
CA,TRUE,California,2016-05-01,Number of Drug Overdose Deaths,4811
CA,TRUE,California,2016-06-01,Number of Drug Overdose Deaths,4844
CA,TRUE,California,2016-07-01,Number of Drug Overdose Deaths,4816
CA,TRUE,California,2016-08-01,Number of Drug Overdose Deaths,4791
CA,TRUE,California,2016-09-01,Number of Drug Overdose Deaths,4716
CA,TRUE,California,2016-10-01,Number of Drug Overdose Deaths,4659
CA,TRUE,California,2016-11-01,Number of Drug Overdose Deaths,4709
CA,TRUE,California,2016-12-01,Number of Drug Overdose Deaths,4755
CA,TRUE,California,2017-01-01,Number of Drug Overdose Deaths,4768
CA,TRUE,California,2017-02-01,Number of Drug Overdose Deaths,4714
CA,TRUE,California,2017-03-01,Number of Drug Overdose Deaths,4702
CA,TRUE,California,2017-04-01,Number of Drug Overdose Deaths,4687
CA,TRUE,California,2017-05-01,Number of Drug Overdose Deaths,4711
CA,TRUE,California,2017-06-01,Number of Drug Overdose Deaths,4735
CA,TRUE,California,2017-07-01,Number of Drug Overdose Deaths,4781
CA,TRUE,California,2017-08-01,Number of Drug Overdose Deaths,4796
CA,TRUE,California,2017-09-01,Number of Drug Overdose Deaths,4830
CA,TRUE,California,2017-10-01,Number of Drug Overdose Deaths,4895
CO,TRUE,Colorado,2015-01-01,Number of Deaths,36264
CO,TRUE,Colorado,2015-02-01,Number of Deaths,36330
CO,TRUE,Colorado,2015-03-01,Number of Deaths,36300
CO,TRUE,Colorado,2015-04-01,Number of Deaths,36601
CO,TRUE,Colorado,2015-05-01,Number of Deaths,36667
CO,TRUE,Colorado,2015-06-01,Number of Deaths,36816
CO,TRUE,Colorado,2015-07-01,Number of Deaths,36960
CO,TRUE,Colorado,2015-08-01,Number of Deaths,37125
CO,TRUE,Colorado,2015-09-01,Number of Deaths,37101
CO,TRUE,Colorado,2015-10-01,Number of Deaths,37144
CO,TRUE,Colorado,2015-11-01,Number of Deaths,37144
CO,TRUE,Colorado,2015-12-01,Number of Deaths,36993
CO,TRUE,Colorado,2016-01-01,Number of Deaths,36752
CO,TRUE,Colorado,2016-02-01,Number of Deaths,36987
CO,TRUE,Colorado,2016-03-01,Number of Deaths,37387
CO,TRUE,Colorado,2016-04-01,Number of Deaths,37351
CO,TRUE,Colorado,2016-05-01,Number of Deaths,37535
CO,TRUE,Colorado,2016-06-01,Number of Deaths,37504
CO,TRUE,Colorado,2016-07-01,Number of Deaths,37620
CO,TRUE,Colorado,2016-08-01,Number of Deaths,37650
CO,TRUE,Colorado,2016-09-01,Number of Deaths,37834
CO,TRUE,Colorado,2016-10-01,Number of Deaths,38048
CO,TRUE,Colorado,2016-11-01,Number of Deaths,38075
CO,TRUE,Colorado,2016-12-01,Number of Deaths,38151
CO,TRUE,Colorado,2017-01-01,Number of Deaths,38236
CO,TRUE,Colorado,2017-02-01,Number of Deaths,38358
CO,TRUE,Colorado,2017-03-01,Number of Deaths,38365
CO,TRUE,Colorado,2017-04-01,Number of Deaths,38522
CO,TRUE,Colorado,2017-05-01,Number of Deaths,38412
CO,TRUE,Colorado,2017-06-01,Number of Deaths,38473
CO,TRUE,Colorado,2017-07-01,Number of Deaths,38371
CO,TRUE,Colorado,2017-08-01,Number of Deaths,38385
CO,TRUE,Colorado,2017-09-01,Number of Deaths,38547
CO,TRUE,Colorado,2017-10-01,Number of Deaths,38595
CO,TRUE,Colorado,2015-01-01,Number of Drug Overdose Deaths,923
CO,TRUE,Colorado,2015-02-01,Number of Drug Overdose Deaths,932
CO,TRUE,Colorado,2015-03-01,Number of Drug Overdose Deaths,939
CO,TRUE,Colorado,2015-04-01,Number of Drug Overdose Deaths,950
CO,TRUE,Colorado,2015-05-01,Number of Drug Overdose Deaths,927
CO,TRUE,Colorado,2015-06-01,Number of Drug Overdose Deaths,921
CO,TRUE,Colorado,2015-07-01,Number of Drug Overdose Deaths,918
CO,TRUE,Colorado,2015-08-01,Number of Drug Overdose Deaths,928
CO,TRUE,Colorado,2015-09-01,Number of Drug Overdose Deaths,917
CO,TRUE,Colorado,2015-10-01,Number of Drug Overdose Deaths,915
CO,TRUE,Colorado,2015-11-01,Number of Drug Overdose Deaths,908
CO,TRUE,Colorado,2015-12-01,Number of Drug Overdose Deaths,913
CO,TRUE,Colorado,2016-01-01,Number of Drug Overdose Deaths,913
CO,TRUE,Colorado,2016-02-01,Number of Drug Overdose Deaths,912
CO,TRUE,Colorado,2016-03-01,Number of Drug Overdose Deaths,908
CO,TRUE,Colorado,2016-04-01,Number of Drug Overdose Deaths,894
CO,TRUE,Colorado,2016-05-01,Number of Drug Overdose Deaths,915
CO,TRUE,Colorado,2016-06-01,Number of Drug Overdose Deaths,935
CO,TRUE,Colorado,2016-07-01,Number of Drug Overdose Deaths,928
CO,TRUE,Colorado,2016-08-01,Number of Drug Overdose Deaths,934
CO,TRUE,Colorado,2016-09-01,Number of Drug Overdose Deaths,933
CO,TRUE,Colorado,2016-10-01,Number of Drug Overdose Deaths,948
CO,TRUE,Colorado,2016-11-01,Number of Drug Overdose Deaths,952
CO,TRUE,Colorado,2016-12-01,Number of Drug Overdose Deaths,965
CO,TRUE,Colorado,2017-01-01,Number of Drug Overdose Deaths,976
CO,TRUE,Colorado,2017-02-01,Number of Drug Overdose Deaths,966
CO,TRUE,Colorado,2017-03-01,Number of Drug Overdose Deaths,963
CO,TRUE,Colorado,2017-04-01,Number of Drug Overdose Deaths,988
CO,TRUE,Colorado,2017-05-01,Number of Drug Overdose Deaths,982
CO,TRUE,Colorado,2017-06-01,Number of Drug Overdose Deaths,996
CO,TRUE,Colorado,2017-07-01,Number of Drug Overdose Deaths,1012
CO,TRUE,Colorado,2017-08-01,Number of Drug Overdose Deaths,1018
CO,TRUE,Colorado,2017-09-01,Number of Drug Overdose Deaths,1023
CO,TRUE,Colorado,2017-10-01,Number of Drug Overdose Deaths,1026
CT,TRUE,Connecticut,2015-01-01,Cocaine (T40.5),118
CT,TRUE,Connecticut,2015-02-01,Cocaine (T40.5),124
